"","gene","cluster","external_gene_name"
"476","ENSMUSG00000015837",1,"Sqstm1"
"477","ENSMUSG00000015843",1,"Rxrg"
"478","ENSMUSG00000015882",1,"Lcorl"
"479","ENSMUSG00000015889",1,"Lta4h"
"480","ENSMUSG00000015942",1,"Gtf2ird2"
"481","ENSMUSG00000015961",1,"Adss"
"482","ENSMUSG00000016018",1,"Mtrex"
"483","ENSMUSG00000016128",1,"Stard13"
"484","ENSMUSG00000016181",1,"Utp25"
"485","ENSMUSG00000016200",1,"Syt14"
"486","ENSMUSG00000016206",1,"H2-M3"
"487","ENSMUSG00000016239",1,"Lonrf3"
"488","ENSMUSG00000016257",1,"Prelid3b"
"489","ENSMUSG00000016356",1,"Col20a1"
"490","ENSMUSG00000016477",1,"E2f3"
"491","ENSMUSG00000016487",1,"Ppfibp1"
"492","ENSMUSG00000016496",1,"Cd274"
"493","ENSMUSG00000016528",1,"Mapkapk2"
"494","ENSMUSG00000016552",1,"Foxred2"
"495","ENSMUSG00000016554",1,"Eif3d"
"496","ENSMUSG00000016559",1,"H3f3b"
"497","ENSMUSG00000016619",1,"Nup50"
"498","ENSMUSG00000016664",1,"Pacsin2"
"499","ENSMUSG00000016756",1,"Cmah"
"500","ENSMUSG00000016831",1,"Tox4"
"501","ENSMUSG00000016921",1,"Srsf6"
"502","ENSMUSG00000016946",1,"Kctd5"
"503","ENSMUSG00000017057",1,"Il13ra1"
"504","ENSMUSG00000017132",1,"Cyth1"
"505","ENSMUSG00000017204",1,"Gsdma"
"506","ENSMUSG00000017221",1,"Psmd3"
"507","ENSMUSG00000017264",1,"Exosc10"
"508","ENSMUSG00000017299",1,"Dnttip1"
"509","ENSMUSG00000017376",1,"Nlk"
"510","ENSMUSG00000017404",1,"Rpl19"
"511","ENSMUSG00000017418",1,"Arl5b"
"512","ENSMUSG00000017421",1,"Zfp207"
"513","ENSMUSG00000017428",1,"Psmd11"
"514","ENSMUSG00000017478",1,"Zc3h18"
"515","ENSMUSG00000017548",1,"Suz12"
"516","ENSMUSG00000017615",1,"Tnfaip1"
"517","ENSMUSG00000017652",1,"Cd40"
"518","ENSMUSG00000017677",1,"Wsb1"
"519","ENSMUSG00000017679",1,"Ttpal"
"520","ENSMUSG00000017686",1,"Rhot1"
"521","ENSMUSG00000017707",1,"Serinc3"
"522","ENSMUSG00000017764",1,"Zswim1"
"523","ENSMUSG00000017765",1,"Slc12a4"
"524","ENSMUSG00000017774",1,"Myo1c"
"525","ENSMUSG00000017776",1,"Crk"
"526","ENSMUSG00000017781",1,"Pitpna"
"527","ENSMUSG00000017801",1,"Mlx"
"528","ENSMUSG00000017831",1,"Rab5a"
"529","ENSMUSG00000017837",1,"Nkiras2"
"530","ENSMUSG00000017929",1,"B4galt5"
"531","ENSMUSG00000017999",1,"Ddx27"
"532","ENSMUSG00000018008",1,"Cyth4"
"533","ENSMUSG00000018040",1,"Rrp7a"
"534","ENSMUSG00000018076",1,"Med13l"
"535","ENSMUSG00000018143",1,"Mafk"
"536","ENSMUSG00000018160",1,"Med1"
